"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"5258","AMAT_Milan_feed","16","M.te Velino - Segesta","","0","","",""
"5259","AMAT_Milan_feed","16","Faruffini - Segesta","","0","","",""
"5261","AMAT_Milan_feed","16","Segesta - M.te Velino","","0","","",""
"5273","AMAT_Milan_feed","16","Segesta - M.te Velino (corse notturne)","","0","","",""
"5274","AMAT_Milan_feed","16","Segesta - Faruffini","","0","","",""
"5277","AMAT_Milan_feed","19","Roserio (Ospedale Sacco) - P.ta Genova M2","","0","","",""
"5278","AMAT_Milan_feed","19","P.ta Genova M2 - Roserio (Ospedale Sacco)","","0","","",""
"5281","AMAT_Milan_feed","19","Sempione/Villasanta - P.ta Genova M2","","0","","",""
"5364","AMAT_Milan_feed","2","Bausan - Negrelli (sosta Orefici)","","0","","",""
"5366","AMAT_Milan_feed","14","Cim. Maggiore - Lorenteggio (sosta Orefici)","","0","","",""
"5368","AMAT_Milan_feed","27","6 Febbraio - Ungheria (sosta Orefici)","","0","","",""
"5378","AMAT_Milan_feed","67","Bande Nere - Baracca","","3","","",""
"5395","AMAT_Milan_feed","132","S.Donato M3 (Marignano) - S.Donato (Di Vittorio)","","3","","",""
"5396","AMAT_Milan_feed","132","S.Donato M3 (Marignano) - S.Donato (Di Vittorio)(trans.Via Emilia)","","3","","",""
"5397","AMAT_Milan_feed","132","S.Donato M3 (Marignano) - S.Donato (Di Vittorio)(trans. De Gasperi)","","3","","",""
"5398","AMAT_Milan_feed","132","S.Donato (Di Vittorio) - S.Donato M3 (Marignano)","","3","","",""
"5401","AMAT_Milan_feed","45","San Donato M3 - Ungheria/Guerrieri","","3","","",""
"5415","AMAT_Milan_feed","175","Cim. Lambrate - P.te Lambro","","3","","",""
"5421","AMAT_Milan_feed","66","Susa - Linate","","3","","",""
"5423","AMAT_Milan_feed","84","Feltrinelli - San Donato M3 (sabato dev mercato)","","3","","",""
"5437","AMAT_Milan_feed","48","A.Papa - M.Bianco","","3","","",""
"5438","AMAT_Milan_feed","48","M.Bianco - A.Papa","","3","","",""
"5482","AMAT_Milan_feed","93","Stz Lambrate - Omero","","3","","",""
"5483","AMAT_Milan_feed","93","Stz Lambrate - Molise/Calvairate","","3","","",""
"5484","AMAT_Milan_feed","93","Omero - Stz Lambrate","","3","","",""
"5485","AMAT_Milan_feed","93","Mugello/P.ta Vittoria - Stz Lambrate","","3","","",""
"5486","AMAT_Milan_feed","39","Loreto - Pitteri","","3","","",""
"5487","AMAT_Milan_feed","39","Loreto - Redecesio","","3","","",""
"5489","AMAT_Milan_feed","39","Pitteri - Loreto","","3","","",""
"5490","AMAT_Milan_feed","39","Redecesio - Loreto","","3","","",""
"5492","AMAT_Milan_feed","75","C.na Gobba M2 - Pitteri","","3","","",""
"5493","AMAT_Milan_feed","75","Stz Lambrate - Pitteri","","3","","",""
"5494","AMAT_Milan_feed","75","Pitteri - C.na Gobba M2","","3","","",""
"5495","AMAT_Milan_feed","75","Pitteri - Stz Lambrate","","3","","",""
"5496","AMAT_Milan_feed","54","Baracchini - Stz Lambrate","","3","","",""
"5497","AMAT_Milan_feed","54","Susa - Stz Lambrate","","3","","",""
"5500","AMAT_Milan_feed","81","Stz Lambrate - Sesto Marelli","","3","","",""
"5504","AMAT_Milan_feed","12","C.Marcello - Roserio (ins. da deposito)","","0","","",""
"5505","AMAT_Milan_feed","14","Certosa/Accursio - Cim.Maggiore (ins. da deposito)","","0","","",""
"5509","AMAT_Milan_feed","321","Milano - Assago (trans. via Galilei)","","3","","",""
"5515","AMAT_Milan_feed","321","Buccinasco (Emilia) - Corsico","","3","","",""
"5516","AMAT_Milan_feed","321","Buccinasco (Emilia) - Milano","","3","","",""
"5528","AMAT_Milan_feed","321","Milano - Buccinasco (Emilia)","","3","","",""
"5530","AMAT_Milan_feed","321","Assago - Milano (trans. via Galilei)","","3","","",""
"5531","AMAT_Milan_feed","321","Corsico (Resistenza) - Corsico (Italia)","","3","","",""
"5532","AMAT_Milan_feed","321","Corsico (Italia) - Buccinasco (Emilia)","","3","","",""
"5540","AMAT_Milan_feed","162","Famagosta - Cantalupa","","3","","",""
"5541","AMAT_Milan_feed","162","Cantalupa - Famagosta","","3","","",""
"5545","AMAT_Milan_feed","351","Buccinasco - Milano  (Bisceglie M1)","","3","","",""
"5557","AMAT_Milan_feed","50","Cairoli - Lorenteggio","","3","","",""
"5560","AMAT_Milan_feed","58","Noale - Minghetti","","3","","",""
"5561","AMAT_Milan_feed","58","Gozzoli - Minghetti","","3","","",""
"5562","AMAT_Milan_feed","58","Brasilia - Minghetti","","3","","",""
"5563","AMAT_Milan_feed","58","Minghetti - Noale","","3","","",""
"5564","AMAT_Milan_feed","58","Minghetti - Primaticcio","","3","","",""
"5565","AMAT_Milan_feed","58","Minghetti - Gozzoli","","3","","",""
"5566","AMAT_Milan_feed","58","Minghetti - Noale - Gozzoli","","3","","",""
"5569","AMAT_Milan_feed","44","Q.re Turro - C.na Gobba","","3","","",""
"5587","AMAT_Milan_feed","57","Minghetti - Q.to Oggiaro","","3","","",""
"5588","AMAT_Milan_feed","57","Minghetti - Q.to Oggiaro (perc. dalle 21.00)","","3","","",""
"5602","AMAT_Milan_feed","162","Famagosta - Q.re Binda","","3","","",""
